feed_name,feed_url,feed_at_uri,feed_cid,creator_did,creator_handle,like_count,feed_tag
Videos for Democracy,https://bsky.app/profile/mmccue.bsky.social/feed/videos-for-de,at://did:plc:6nkng5626orolzuyvuzocl4e/app.bsky.feed.generator/videos-for-de,bafyreihzd4dxy5ybwakngamc76cwpxwceqxoglriqvsvc4b3vhra65szqi,did:plc:6nkng5626orolzuyvuzocl4e,mmccue.bsky.social,7,PL
Dems on Climate,https://bsky.app/profile/davidsacerdote.bsky.social/feed/aaalifvvd3zuk,at://did:plc:o4s55v3tsfph6whswxccpsia/app.bsky.feed.generator/aaalifvvd3zuk,bafyreieknhjn5mlsbtsicfeasyxjnv75z5lnbgbx7lkddbg5btnsctmvxy,did:plc:o4s55v3tsfph6whswxccpsia,davidsacerdote.bsky.social,6,PL
Fighting For Democracy,https://bsky.app/profile/justinbuntingfornc.bsky.social/feed/aaahifs5xoarg,at://did:plc:i2pnuomvk7qggktdydymoudo/app.bsky.feed.generator/aaahifs5xoarg,bafyreigeiojwqapmc56sesxyb4p6aytbaveacjkdczgrlo63wvrm2upgzm,did:plc:i2pnuomvk7qggktdydymoudo,justinbuntingfornc.bsky.social,6,PL
Podcasts for Lefties,https://bsky.app/profile/jayfutw.bsky.social/feed/aaaiaylzlp6jm,at://did:plc:2vlgzpq5xlzbdpewtvc3bg3b/app.bsky.feed.generator/aaaiaylzlp6jm,bafyreiaqhpn5qsfzqy5mslfjp5vcwgsf2jwmaw4cmbxpeocfb3feuy7mkq,did:plc:2vlgzpq5xlzbdpewtvc3bg3b,jayfutw.bsky.social,6,PL
Democracy against AfD,https://bsky.app/profile/machpiyal.bsky.social/feed/aaaeesf6b67to,at://did:plc:5sycm5qxobvmijsshtqzfp25/app.bsky.feed.generator/aaaeesf6b67to,bafyreia6ufpahqwsvbpmiziixe6p4lxxj2h7hfp55eh24u3kvxozbg436m,did:plc:5sycm5qxobvmijsshtqzfp25,machpiyal.bsky.social,5,PL
House Democrats ex top 5,https://bsky.app/profile/muskisatotalpos.bsky.social/feed/aaamrhar7njfe,at://did:plc:vkgc7hteoa7hgwv2do74nvzv/app.bsky.feed.generator/aaamrhar7njfe,bafyreifzdahhkdhfbez5475c576nxaaumwwrgkwiqhgjrvtda73y4rcw2a,did:plc:vkgc7hteoa7hgwv2do74nvzv,muskisatotalpos.bsky.social,5,PL
New Liberals DT,https://bsky.app/profile/madamesosumi.bsky.social/feed/aaaiqdxobnelm,at://did:plc:gogxkwku2s2b5yyy62qnllyo/app.bsky.feed.generator/aaaiqdxobnelm,bafyreiaflyggzbh5y2mt6b4zotbylixn3ddxd5c4gxvwijvr2zs6hbnhmm,did:plc:gogxkwku2s2b5yyy62qnllyo,madamesosumi.bsky.social,5,PL
True North Liberal Feed,https://bsky.app/profile/thesanity.org/feed/aaacoi6g53x6a,at://did:plc:xrmhlklb6ej5odia4vnt4kwj/app.bsky.feed.generator/aaacoi6g53x6a,bafyreiefqsb3ioxowcwlr4vli3xizattmhkhmterkuzkds44daqmbxgm3y,did:plc:xrmhlklb6ej5odia4vnt4kwj,thesanity.org,5,PL
Virginia Progressives,https://bsky.app/profile/johnguy108.bsky.social/feed/aaamgjyibtdwm,at://did:plc:qs6w4xf3o32vxrimhjaklgyg/app.bsky.feed.generator/aaamgjyibtdwm,bafyreibxccfqnv4rholuxklazxykaxya3g3pde3xjy4s6dcuqlocprxwe4,did:plc:qs6w4xf3o32vxrimhjaklgyg,johnguy108.bsky.social,5,PL
AntiTrump,https://bsky.app/profile/protectourrights.bsky.social/feed/aaagaz3wouzls,at://did:plc:m2wzne4v3mlyqaaxeefz756h/app.bsky.feed.generator/aaagaz3wouzls,bafyreiflvr7s25aktbwkdqa5zjyyacuhnzmjtzjk7gluandehv6yyyul2i,did:plc:m2wzne4v3mlyqaaxeefz756h,protectourrights.bsky.social,4,PL
